date_time	B.1	B.1.1	B.1.1.306	B.1.1.7	B.1.311	B.1.351	B.1.36.29	B.1.525	B.1.617	B.1.617.1	B.1.617.2	B.1.617.3	B.1.618	Other	source
2020-05-22T23:00:00.000Z	0.173020528	0.032258065	0.190615836	0	0	0	0.002932551	0	0	0	0	0	0	0.601173021	
2020-05-23T23:00:00.000Z	0.155172414	0.045977011	0.198275862	0	0	0	0.002873563	0	0	0	0	0	0	0.597701149	
2020-05-24T23:00:00.000Z	0.18766756	0.053619303	0.209115282	0	0	0	0.002680965	0	0	0	0	0	0	0.54691689	
2020-05-25T23:00:00.000Z	0.173796791	0.042780749	0.219251337	0	0	0	0.002673797	0	0	0	0	0	0	0.561497326	
2020-05-26T23:00:00.000Z	0.165432099	0.037037037	0.195061728	0	0	0	0	0	0	0	0	0	0	0.602469136	
2020-05-27T23:00:00.000Z	0.143920596	0.037220844	0.183622829	0	0	0	0	0	0	0	0	0	0	0.635235732	
2020-05-28T23:00:00.000Z	0.146766169	0.039800995	0.166666667	0	0	0	0	0	0	0	0	0	0	0.646766169	
2020-05-29T23:00:00.000Z	0.146153846	0.038461538	0.166666667	0	0	0	0	0	0	0	0	0	0	0.648717949	
2020-05-30T23:00:00.000Z	0.131428571	0.037142857	0.168571429	0	0	0	0	0	0	0	0	0	0	0.662857143	
2020-05-31T23:00:00.000Z	0.110344828	0.051724138	0.175862069	0	0	0	0	0	0	0	0	0	0	0.662068966	
2020-06-01T23:00:00.000Z	0.123134328	0.063432836	0.190298507	0	0	0	0	0	0	0	0	0	0	0.623134328	
2020-06-02T23:00:00.000Z	0.126530612	0.073469388	0.191836735	0	0	0	0	0	0	0	0	0	0	0.608163265	
2020-06-03T23:00:00.000Z	0.127853881	0.095890411	0.237442922	0	0	0	0	0	0	0	0	0	0	0.538812785	
2020-06-04T23:00:00.000Z	0.120833333	0.120833333	0.2125	0	0	0	0	0	0	0	0	0	0	0.545833333	
2020-06-05T23:00:00.000Z	0.134529148	0.130044843	0.224215247	0	0	0	0	0	0	0	0	0	0	0.511210762	
2020-06-06T23:00:00.000Z	0.134529148	0.121076233	0.215246637	0	0	0	0	0	0	0	0	0	0	0.529147982	
2020-06-07T23:00:00.000Z	0.115226337	0.102880658	0.185185185	0	0	0	0	0	0	0	0	0	0	0.596707819	
2020-06-08T23:00:00.000Z	0.102040816	0.106122449	0.163265306	0	0	0	0	0	0	0	0	0	0	0.628571429	
2020-06-09T23:00:00.000Z	0.099173554	0.144628099	0.181818182	0	0	0	0	0	0	0	0	0	0	0.574380165	
2020-06-10T23:00:00.000Z	0.124528302	0.124528302	0.154716981	0	0	0	0	0	0	0	0	0	0	0.596226415	
2020-06-11T23:00:00.000Z	0.134948097	0.07266436	0.15916955	0	0	0	0	0	0	0	0	0	0	0.633217993	
2020-06-12T23:00:00.000Z	0.150326797	0.068627451	0.14379085	0	0	0	0	0	0	0	0	0	0	0.637254902	
2020-06-13T23:00:00.000Z	0.150326797	0.065359477	0.147058824	0	0	0	0	0	0	0	0	0	0	0.637254902	
2020-06-14T23:00:00.000Z	0.141129032	0.084677419	0.114919355	0	0	0	0.004032258	0	0	0	0	0	0	0.655241935	
2020-06-15T23:00:00.000Z	0.134653465	0.079207921	0.154455446	0	0	0	0.003960396	0	0	0	0	0	0	0.627722772	
2020-06-16T23:00:00.000Z	0.127886323	0.056838366	0.195381883	0	0	0	0.003552398	0	0	0	0	0	0	0.61634103	
2020-06-17T23:00:00.000Z	0.12106136	0.059701493	0.1973466	0	0	0	0.00331675	0	0	0	0	0	0	0.618573798	
2020-06-18T23:00:00.000Z	0.108581436	0.071803853	0.208406305	0	0	0	0.003502627	0	0	0	0	0	0	0.607705779	
2020-06-19T23:00:00.000Z	0.091370558	0.077834179	0.260575296	0	0	0	0.003384095	0	0	0	0	0	0	0.566835871	
